Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.97026,0.29647,5.4832,2.0991,0.98631,1.0956,5.1791,0.78035,0.5,0.16174,0.33747,0.48093,0.53852,0.0071267,0.0094264
1.0972,0.30878,5.9026,2.5505,1.1103,1.0292,7.3408,0.79569,0.125,0.75208,0.4668,0.58592,0.28284,0.0084791,0.0057708
1.0445,0.28211,5.5654,1.9182,1.0513,1.2185,5.9431,0.85096,0.5,0.12484,0.30898,0.36652,0.4,0.0025953,0.0097724
1.1047,0.23477,7.3062,1.7369,1.1141,1.692,7.3406,0.83473,0.375,0.1239,0.33611,0.45082,0.53852,0.0035211,0.0071173
1.1046,0.1554,15.389,2.3392,1.1133,2.1725,8.2916,0.26015,0.625,0.23275,0.37651,0.42315,0.53852,0.0030772,0.0027555
1.0274,0.29783,4.8459,2.0395,1.0435,1.177,6.26,0.91413,0.75,0.34102,0.2595,0.40155,0.78102,0.0041247,0.0094734
1.0427,0.23958,6.6709,1.86,1.0597,1.559,7.0788,0.65315,0.625,0.34676,0.29906,0.44683,0.63246,0.0055898,0.0063659
1.1864,0.26046,6.4452,2.3687,1.1995,2.2069,8.6469,0.79853,0.875,0.1358,0.68206,0.74353,0.6,0.006945,0.0075956
1.1146,0.25351,6.3935,2.6456,1.1286,1.414,8.0823,0.7154,0.375,0.37611,0.37983,0.51694,0.5,0.0067565,0.0055207
1.0967,0.21486,8.4638,1.9019,1.1089,1.7342,7.7923,0.48663,1,0.60936,0.35444,0.38857,0.44721,0.0053549,0.0045807
1.0863,0.27347,6.0414,1.7027,1.1024,1.4669,7.2819,0.71823,0.75,0.36866,0.30179,0.40348,0.86023,0.0057161,0.0076507
1.0645,0.25411,6.1643,1.8015,1.0758,1.4752,6.819,0.76169,0.25,0.086974,0.26089,0.33962,0.2,0.0063304,0.0065213
1.1132,0.19677,8.7037,1.9303,1.124,1.8269,8.2501,0.53359,0.125,0.367,0.36681,0.45448,0.44721,0.0036336,0.0038814
1.0637,0.26492,5.7622,2.4482,1.0731,1.5441,6.6089,0.84492,0.125,0.46868,0.46637,0.56838,0.53852,0.0041121,0.0060011
1.1168,0.21972,7.5404,2.0081,1.1251,1.6372,7.7307,0.67964,0.75,0.44304,0.23857,0.42791,0.7,0.0062651,0.0054383
1.0601,0.18404,9.2281,1.8233,1.07,1.8685,7.1904,0.47098,0.75,0.30769,0.21518,0.32836,0.5,0.0053871,0.0033682
1.1192,0.26677,6.3308,2.0554,1.1329,1.6373,7.581,0.81575,0.75,0.24479,0.071856,0.35297,0.53852,0.0067493,0.0055177
1.0423,0.34902,4.4588,1.9349,1.062,0.98797,6.81,1.0264,0.875,0.070078,0.37037,0.51222,0.53852,0.0064944,0.011707
1.0593,0.21388,6.9815,1.9418,1.0677,1.4536,6.9404,0.60374,1,0.36117,0.30925,0.44318,0.63246,0.0026363,0.0052551
1.0942,0.16618,14.823,1.8704,1.1041,2.0834,8.1821,0.31357,0.75,0.26947,0.45448,0.58646,0.5099,0.0067445,0.0034524
1.1997,0.20442,7.6806,2.1618,1.2055,1.8163,9.1718,0.66642,0.5,0.17702,0.14681,0.3246,0.56569,0.0044813,0.0040636
