x,y,z,class
-0.128,-1.048,0.188,Cycling
-0.344,-1.876,0.708,Cycling
0.248,-1.004,0.36,Cycling
0.116,-0.84,-0.108,Cycling
-0.02,-0.776,0.296,Cycling
0.036,-1.144,0.34,Cycling
-0.188,-0.92,0.152,Cycling
0.26,-0.932,0.34,Cycling
0.184,-1.056,0.12,Cycling
0.136,-1.064,0.2,Cycling
0.176,-1.012,0.164,Cycling
0.116,-1.028,0.192,Cycling
0.112,-1.016,0.208,Cycling
0.056,-1.032,0.148,Cycling
0.136,-0.98,0.22,Cycling
-0.032,-1,0.152,Cycling
0.12,-1.076,0.096,Cycling
0.244,-0.984,0.24,Cycling
-0.008,-0.984,0.192,Cycling
0.252,-0.98,0.256,Cycling
0.224,-1.06,-0.088,Cycling
0.1,-0.968,-0.196,Cycling
0.432,-1.072,-0.192,Cycling
0.372,-1.012,0.088,Cycling
0.256,-1.032,0.132,Cycling
0.46,-0.964,0.22,Cycling
0.256,-0.908,0.06,Cycling
0.208,-1.096,-0.044,Cycling
0.276,-0.948,-0.016,Cycling
0.436,-0.796,0.236,Cycling
0.26,-0.832,0.096,Cycling
0.284,-1.22,0.008,Cycling
0.188,-1.144,0.036,Cycling
0.26,-1.092,0.192,Cycling
0.3,-1.06,0.176,Cycling
0.276,-0.652,-0.044,Cycling
0.292,-1.06,0.184,Cycling
0.324,-0.856,0.164,Cycling
0.308,-0.884,0.056,Cycling
0.028,-1.12,0.04,Cycling
-0.168,-1.052,0.196,Cycling
0.324,-1.292,0.104,Cycling
0.464,-1.304,0.24,Cycling
0.1,-0.82,0.184,Cycling
0.116,-1.108,0.144,Cycling
0.456,-0.788,0.004,Cycling
0.34,-0.736,0.048,Cycling
0.34,-1.12,0.348,Cycling
0.264,-0.736,0.204,Cycling
0.448,-1.032,0.324,Cycling
0.04,-1.248,0.16,Cycling
0.464,-1.108,0.176,Cycling
0.52,-0.92,0.256,Cycling
0.34,-1.12,0.172,Cycling
0.268,-1.008,0.008,Cycling
0.404,-1.016,-0.028,Cycling
0.28,-1.056,0.088,Cycling
0.58,-1.188,0.268,Cycling
0.244,-0.972,0.164,Cycling
0.368,-0.78,0.008,Cycling
0.136,-1.132,-0.012,Cycling
0.268,-0.892,0.288,Cycling
0.228,-1.044,0.144,Cycling
0.348,-1.224,0.156,Cycling
0.344,-1.128,-0.084,Cycling
0.24,-0.968,0.108,Cycling
0.26,-1.024,0.12,Cycling
0.404,-0.996,0.148,Cycling
0.212,-1.648,0.66,Cycling
0.588,-1.1,0.26,Cycling
0.288,-1.22,0.084,Cycling
0.232,-0.792,0.072,Cycling
0.52,-1.216,0.2,Cycling
0.324,-1.324,0.156,Cycling
0.268,-0.632,0.12,Cycling
0.444,-1.144,0.18,Cycling
0.332,-1.4,0.172,Cycling
0.248,-0.988,0.164,Cycling
0.368,-0.776,0.14,Cycling
0.464,-1,0.064,Cycling
0.132,-0.828,0.064,Cycling
0.54,-0.976,0.08,Cycling
0.36,-1.348,0.22,Cycling
0.456,-1.268,0.348,Cycling
0.152,-1.204,0.228,Cycling
0.488,-0.828,-0.008,Cycling
-0.048,-0.964,0.136,Cycling
0.172,-1.496,0.124,Cycling
0.456,-1.188,0.208,Cycling
0.328,-0.668,0.02,Cycling
0.256,-0.628,-0.072,Cycling
0.356,-1.016,0.244,Cycling
0.332,-0.844,0.016,Cycling
0,-1.4,-0.008,Cycling
0.116,-1.112,0.24,Cycling
0.132,-1.32,0.136,Cycling
0.492,-1.028,0.096,Cycling
0.348,-0.656,0.172,Cycling
0.324,-1.12,0,Cycling
0.556,-1.456,0.292,Cycling
0.508,-0.68,0.312,Cycling
0.172,-1.232,0.048,Cycling
0.076,-0.428,-0.1,Cycling
0.188,-1.136,0.104,Cycling
0.384,-0.992,0.108,Cycling
0.264,-1.24,0.32,Cycling
0.184,-0.936,0.008,Cycling
0.22,-1.152,0.304,Cycling
0.324,-0.94,0.084,Cycling
0.756,-0.708,0.024,Cycling
0.448,-1.04,0.204,Cycling
0.6,-1.02,0.228,Cycling
0.588,-0.944,0.288,Cycling
0.24,-1.352,0.312,Cycling
0.432,-0.76,0.132,Cycling
0.752,-1.212,0.352,Cycling
0.572,-1.1,0.192,Cycling
0.252,-0.804,0.288,Cycling
0.384,-1.196,0.268,Cycling
0.636,-1.556,0.468,Cycling
0.204,-1.284,0.26,Cycling
0.288,-0.868,0.028,Cycling
0.016,-0.564,-0.128,Cycling
0.364,-0.88,0.2,Cycling
0.224,-0.936,0.188,Cycling
0.192,-1.252,0.048,Cycling
0.348,-1.024,0.172,Cycling
0.472,-0.716,0.128,Cycling
0.264,-0.82,0.076,Cycling
0.24,-0.956,0.112,Cycling
0.072,-0.996,0.156,Cycling
0.272,-1.04,0.148,Cycling
0.232,-1.128,0.096,Cycling
0.348,-1.02,0.196,Cycling
0.224,-0.92,0.184,Cycling
0.176,-0.824,0.16,Cycling
0.688,-0.68,0.32,Cycling
0.6,-0.932,0.368,Cycling
